go	va
tom is bilingual	tom est bilingue
tom is dangerous	tom est dangereux
tom is forgetful	tom est distrait
tom is important	tom est important
tom is like that	tom est comme ca
tom is merciless	tom est impitoyable
tom is my friend	tom est mon ami
tom is our guest	tom est notre invite
tom is the owner	tom est le proprietaire
tom is too young	tom est trop jeune
tom isn t crying	tom ne pleure pas
tom isn t joking	tom ne rigole pas
tom isn t joking	tom ne blague pas
tom killed a man	tom tua un homme
tom often smiles	tom sourit souvent
tom punched mary	tom frappa mary
tom reads slowly	tom lit lentement
tom sounds angry	tom parait enerve
tom spoke calmly	tom parla calmement
tom stopped mary	tom arreta marie
tom studies hard	tom etudie beaucoup
tom studies hard	tom etudie serieusement
tom took the job	tom prit le poste
tom walks slowly	tom marche lentement
tom wants a beer	tom veut une biere
tom was abducted	tom etait kidnappe
tom won the game	tom remporta le match
tom s big headed	tom est un craneur
tom s distracted	tom est distrait
try it once more	essaie encore une fois
try this instead	essaye plutot ceci
try this instead	essayez plutot ceci
try to calm down	essaie de te calmer
try to calm down	essayez de vous calmer
was it necessary	etait ce necessaire
watch your speed	surveille ta vitesse
watch yourselves	prenez garde
water the plants	arrose les plantes
water the plants	arrosez les plantes
we can all dream	nous pouvons tous rever
we can all dream	nous pouvons toutes rever
we can still win	nous pouvons encore gagner
we can t give up	nous ne pouvons pas arreter
we depend on you	nous dependons de toi
we depend on you	nous dependons de vous
we do not forget	nous n oublions pas
we gave our word	nous donnames notre parole
we have a theory	nous avons une theorie
we have to split	nous devons nous diviser
we have two ears	nous avons deux oreilles
we have two kids	nous avons deux enfants
we have two sons	nous avons deux fils
we just got here	nous venons d arriver
we kept our word	nous avons tenu parole
we know all this	nous savons tout cela
we know all this	on sait tout ca
we live in peace	nous vivons en paix
we live together	nous vivons ensemble
we lost the game	nous perdimes la partie
we must fix this	nous devons y remedier
we must fix this	nous devons le reparer
we must fix this	nous devons regler ca
we must sit down	nous devons nous asseoir
we were mistaken	nous nous trompions
we were partners	nous etions partenaires
we were together	nous etions ensemble
we were too late	nous arrivames trop tard
we will not fail	nous n echouerons pas
we work together	nous travaillons ensemble
we ll talk later	nous discuterons plus tard
we ve got a boat	nous disposons d un bateau
we ve got enough	nous en avons assez
we ve got enough	nous en avons suffisamment
were you excited	etais tu excite
were you excited	etais tu excitee
were you excited	etiez vous excite
were you excited	etiez vous excitee
were you excited	etiez vous excites
were you excited	etiez vous excitees
were you sincere	etais tu sincere
were you sincere	etiez vous sincere
were you sincere	etiez vous sinceres
what can you see	que peux tu voir
what can you see	que pouvez vous voir
what did we miss	qu avons nous manque
what did you buy	qu as tu achete
what did you buy	qu avez vous achete
what did you eat	tu as mange quoi
what did you eat	qu as tu mange
what did you eat	qu avez vous mange
what did you get	qu as tu eu
what did you say	qu avez vous dit
what did you say	qu as tu dit
what did you say	qu as tu dit
what did you see	qu avez vous vu
what did you see	qu as tu vu
what do you mean	que veux tu dire
what do you mean	que voulez vous dire
what have i done	qu ai je fait
what have we got	qu avons nous obtenu
what have we got	de quoi disposons nous
what if i refuse	et si je refuse
what is all this	qu est tout ceci
what is the news	quelles sont les nouvelles
what is the time	quelle heure est il
what is your age	quel age as tu
what shall we do	qu allons nous faire
what should i do	que devrais je faire
what will we eat	qu allons nous manger
what s he hiding	que cache t il
what s that bird	quel est cet oiseau
what s the catch	ou est l arnaque
what s the score	quelle est la marque
what s the score	quel est le resultat
what s your name	comment tu t appelles
what s your name	comment vous appelez vous
what s your name	quel est votre nom
what s your name	quel est ton nom
what s your name	comment tu t appelles
what s your plan	quel est ton plan
what s your plan	quel est votre plan
what s your wish	quel est votre souhait
what s your wish	quel est ton souhait
what ve you done	qu avez vous fait
whatever you say	comme tu veux
whatever you say	comme vous voulez
whatever you say	comme vous voudrez
whatever you say	comme tu voudras
when does it end	quand cela finit il
where are we now	ou sommes nous maintenant
where did you go	ou es tu alle
where did you go	ou es tu allee
where is my seat	ou est mon siege
where is the boy	ou est le garcon
where is the boy	ou est le garcon
where is the cat	ou est le chat
where is the dog	ou est le chien
where s a mirror	ou trouver un miroir
where s my money	ou est mon argent
where s my phone	ou est mon telephone
where s the boss	ou est le patron
where s the rest	ou est le reste
where s your dog	ou est ton chien
where s your dog	ou est votre chien
where s your dog	ou est ton chien
which is our car	laquelle est notre auto
who did you meet	qui avez vous rencontre
who did you meet	qui as tu rencontre
who is that lady	qui est cette femme
who is this girl	qui est cette fille
who is this lady	qui est cette femme
who s in control	qui est aux commandes
who s not coming	qui ne vient pas
whose turn is it	a qui le tour
why can t i hear	pourquoi ne puis je entendre
why did you call	pourquoi as tu appele
why did you call	pourquoi avez vous appele
why did you quit	pourquoi as tu demissionne
why did you stop	pourquoi avez vous arrete
why did you stop	pourquoi as tu arrete
will you shut up	veux tu te taire
will you shut up	voulez vous vous taire
will you tell me	me le diras tu
will you tell me	me le direz vous
would it help me	cela m aiderait il
you blew it tom	tu as foire tom
you can all help	vous pouvez tous aider
you can all help	vous pouvez toutes aider
you can go there	tu peux y aller
you can go there	vous pouvez y aller
you can look now	tu peux regarder maintenant
you can t go out	tu ne peux pas sortir
you can t go out	vous ne pouvez pas sortir
you have a point	vous avez probablement raison
you have my word	je te le promets
you have my word	je vous le promets
you have my word	vous avez ma parole
you have my word	tu as ma parole
you know me well	tu me connais bien
you know me well	vous me connaissez bien
you know the law	tu connais la loi
you know the law	vous connaissez la loi
you make me sick	tu me rends malade
you make me sick	vous me rendez malade
you may go there	tu peux y aller
you may go there	vous pouvez y aller
you may meet him	tu peux le rencontrer
you may quote me	vous pouvez me citer
you missed a lot	tu as sacrement manque
you missed a lot	t en as loupe
you should do it	tu devrais le faire
you should do it	vous devriez le faire
you were perfect	tu fus parfait
you were perfect	tu fus parfaite
you were perfect	vous futes parfait
you were perfect	vous futes parfaite
you were perfect	vous futes parfaites
you were perfect	vous futes parfaits
your car is fast	ta voiture est rapide
your car is fast	votre voiture est rapide
your dog is here	ton chien est la
your face is red	ton visage est rouge
your fly is open	ta braguette est ouverte
your fly is open	votre braguette est ouverte
your room is big	ta chambre est grande
adjust the brakes	ajuste les freins
are they japanese	sont elles japonaises
are they japanese	sont ils japonais
are they all nuts	sont ils tous dingues
are they all nuts	sont elles toutes dingues
are they brothers	sont ils freres
are they students	sont ils etudiants
are you all alone	es tu tout seul
are you all ready	etes vous tous prets
are you all right	te sens tu bien
are you all right	vous sentez vous bien
are you available	es tu libre
are you bachelors	etes vous celibataires
are you contented	es tu satisfait
are you from here	vous etes du coin
are you happy now	es tu heureux maintenant
are you in boston	es tu a boston
are you in boston	etes vous a boston
are you in danger	es tu en danger
are you in danger	etes vous en danger
are you listening	m ecoutes tu
are you listening	m ecoutes tu
are you ready now	es tu pret maintenant
are you ready now	es tu prete maintenant
are you ready now	etes vous pret maintenant
are you ready now	etes vous prete maintenant
are you ready now	etes vous prets maintenant
are you ready now	etes vous pretes maintenant
are you surprised	etes vous surpris
are you surprised	etes vous surprise
are you surprised	etes vous surprises
are you surprised	es tu surpris
are you surprised	es tu surprise
are you the mayor	etes vous le maire
are you the mayor	es tu le maire
ask your question	posez votre question
be honest with me	sois honnete avec moi
be kind to others	soyez aimable avec autrui
be nice to others	soyez aimable avec autrui
break time s over	la pause est finie
bring me my shoes	apporte moi mes chaussures
bring me my shoes	apportez moi mes chaussures
call an ambulance	appelez une ambulance
call an ambulance	appelle une ambulance
call her tomorrow	appelle la demain
can i ask why not	puis je demander pourquoi pas
can i rely on you	je peux compter sur toi
can we go fishing	pouvons nous aller pecher
can we reschedule	pouvons nous remettre
can you elaborate	peux tu developper
can you handle it	sais tu y faire
can you handle it	savez vous y faire
can you read that	sais tu lire ca
can you read that	savez vous lire ca
can t you help us	ne peux tu nous aider
can t you help us	ne pouvez vous nous aider
choose one person	choisissez une personne
choose one person	choisis une personne
christmas is soon	noel arrive bientot
come here quickly	viens vite ici
come here quickly	viens ici rapidement
come into my room	entrez dans ma chambre
come on trust me	allez fais moi confiance
come play with us	viens jouer avec nous
come play with us	venez jouer avec nous
come to my office	viens a mon bureau
compare the facts	compare les faits
deal us the cards	distribue nous les cartes
deal us the cards	distribuez nous les cartes
did i do all that	ai je fait tout cela
did they hurt you	t ont ils blesse
did they hurt you	t ont ils blessee
did they hurt you	vous ont ils blesse
did you hear that	as tu entendu ca
did you hear that	as tu entendu cela
did you hear that	avez vous entendu cela
did you hear that	avez vous entendu ca
did you hear that	l avez vous entendu
did you live here	avez vous vecu ici
did you live here	as tu vecu ici
did you read them	les as tu lus
did you wash that	avez vous lave cela
did you wash that	as tu lave ca
didn t you go out	n es tu pas sorti
didn t you go out	n etes vous pas sorti
didn t you go out	n es tu pas sortie
didn t you go out	n etes vous pas sortis
didn t you go out	n etes vous pas sorties
disable the alarm	desactive l alarme
disable the alarm	desactivez l alarme
do as you re told	fais comme on te dit
do as you re told	faites comme on vous dit
do it by yourself	fais le toi meme
do they like wine	aiment ils le vin
do you drink wine	vous buvez du vin
do you drink wine	buvez vous du vin
do you drink wine	bois tu du vin
do you drink wine	tu bois du vin
do you feel lucky	te sens tu chanceux
do you feel lucky	te sens tu chanceuse
do you feel lucky	vous sentez vous chanceux
do you feel lucky	vous sentez vous chanceuse
do you feel lucky	vous sentez vous chanceuses
do you have a bag	disposez vous d un sac
do you have a pet	avez vous un animal domestique
do you have a pet	as tu un animal domestique
do you have paper	as tu du papier
do you know latin	connais tu le latin
do you like music	aimes tu la musique
do you like music	tu aimes la musique
do you like music	la musique te plait
do you like music	la musique vous plait
do you like trips	aimes tu les voyages
do you love music	aimes tu la musique
do you want to go	veux tu t en aller
do you want to go	voulez vous vous en aller
do your very best	fais de ton mieux
do your very best	faites de votre mieux
don t be so silly	ne sois pas aussi bete
don t be so silly	ne soyez pas aussi bete
don t deceive him	ne le trompe pas
don t forget that	n oublie pas ca
don t forget that	n oubliez pas ca
don t forget that	n oublie pas cela
don t forget that	n oubliez pas cela
don t get excited	garde la tete froide
don t go in there	ne rentre pas la dedans
don t go in there	ne rentrez pas la dedans
don t let me down	ne me laissez pas tomber
don t let me down	ne me laisse pas tomber
don t repeat that	ne repete pas ca
don t repeat that	ne reitere pas ca
don t repeat that	ne repetez pas ca
don t repeat that	ne reiterez pas ca
don t run so fast	ne cours pas si vite
don t talk to tom	ne parle pas a tom
don t talk to tom	ne parlez pas a tom
don t threaten me	ne me menace pas
don t threaten me	ne me menacez pas
don t turn around	ne te retourne pas
don t turn around	ne vous retournez pas
don t you like us	ne nous apprecies tu pas
don t you like us	ne nous appreciez vous pas
everything is bad	tout est mauvais
everything is new	tout est nouveau
everything is new	tout est neuf
everything is set	tout est pret
everything s fine	tout va bien
finish your drink	finis ton verre
finish your drink	finissez votre verre
get into your car	file dans ta voiture
get into your car	filez dans votre voiture
get into your car	grimpe dans ta voiture
get into your car	grimpez dans votre voiture
get on your knees	mets toi a genoux
get on your knees	mettez vous a genoux
get on your knees	mets toi a genoux
get on your knees	mettez vous a genoux
get out of my way	ecarte toi de mon chemin
get ready quickly	prepare toi vite
give me an orange	donnez moi une orange
give me five days	donnez moi cinq jours
give me five days	donne moi cinq jours
give me your belt	donne moi ta ceinture
give me your hand	donne moi la main
give me your keys	donne moi tes cles
give me your keys	donnez moi vos cles
go ahead and talk	vas y et parle
go away right now	partez tout de suite
go straight ahead	va tout droit
haste makes waste	hate toi lentement
have a drink tom	bois un coup tom
have you finished	as tu fini
have you finished	as tu fini
have you finished	avez vous fini
he appeared young	il paraissait jeune
he called my name	il appela mon nom
he carried a cane	il portait une canne
he chewed his gum	il macha sa gomme
he cried with joy	il pleura de joie
he did a good job	il fit du bon boulot
he did not listen	il n ecouta pas
he didn t protest	il ne protesta pas
he does not smoke	il ne fume pas
he doesn t listen	il n ecoute pas
he drives a truck	il conduit une camionnette
he drives roughly	il conduit brutalement
he employs a maid	il emploie une servante
he exhaled loudly	il expira bruyamment
he fills the bill	il paie l addition
he gave me a hint	il me donna un indice
he got very drunk	il s enivra beaucoup
he grabbed my arm	il saisit mon bras
he had a new idea	il eut une nouvelle idee
he has three sons	il a trois fils
he hates his life	il deteste sa vie
he keeps two cats	il a deux chats
he knows too much	il en sait trop
he likes my jokes	il apprecie mes blagues
he likes my jokes	il apprecie mes plaisanteries
he likes sleeping	il aime dormir
he lives frugally	il vit chichement
he lives in kyoto	il habite a kyoto
he lives in osaka	il habite a osaka
he lives in tokyo	il habite a tokyo
he made me a cake	il me confectionna un gateau
he owns this land	cette terre lui appartient
he raised his arm	il leva la main
he raised his arm	il leva le bras
he ran five miles	il courut cinq miles
he refused to pay	il refusa de payer
he runs very fast	il court fort vite
he saw everything	il vit tout
he skipped a year	il sauta une classe
he speaks chinese	il parle chinois
he speaks english	il parle anglais
he speaks russian	il parle russe
he speaks quickly	il parle vite
he struck a match	il frotta une allumette
he threw the ball	il lanca la balle
he told the truth	il dit la verite
he told the truth	il disait la verite
he turned the key	il tourna la cle
he wakes up early	il se leve tot
he walked quietly	il marchait tranquillement
he wants an apple	il veut une pomme
he was imprisoned	il fut emprisonne
he was very happy	il fut tres heureux
he went back home	il rentra chez lui
he works at night	il travaille de nuit
he works at night	il travaille la nuit
her eyes are blue	ses yeux sont bleus
her nails are red	ses ongles sont rouges
hey this is nice	eh c est sympa
his car is a ford	sa voiture est une ford
his eyes are blue	ses yeux sont bleus
his room s a mess	sa chambre est un bordel
his story is true	son histoire est vraie
honey i love you	tresor je t aime
how do we find it	comment le trouve t on
how do we find it	comment la trouve t on
how does he do it	comment s y prend il
how far did it go	jusqu ou est ce alle
how long are they	quelle longueur font ils
how long are they	quelle longueur font elles
how lucky you are	quelle chance tu as
how lucky you are	quelle chance vous avez
how should i know	comment le saurais je
how was the beach	comment etait la plage
how was your trip	comment etait ton voyage
how was your trip	comment fut votre voyage
how was your walk	comment etait ta promenade
how s the weather	quel temps fait il
how s the weather	comment est le temps
how s the weather	quel temps fait il
how s your family	comment va votre famille
how s your family	comment va ta famille
how s your father	comment va ton pere
how s your father	comment va votre pere
how s your mother	comment va votre mere
how s your mother	comment va ta mere
how s your mother	comment va votre mere
i appreciate that	je l apprecie
i appreciate this	je l apprecie
i bathe every day	je me baigne quotidiennement
i beg you to stay	je te supplie de rester
i beg you to stay	je vous supplie de rester
i beg your pardon	je vous demande pardon
i bid against him	je parie contre lui
i bought the book	j achetai le livre
i brushed my hair	je me suis coiffe
i brushed my hair	je me suis coiffee
i can comfort her	je peux la consoler
i can drive a car	je peux conduire une voiture
i can handle this	je sais y faire
i can hardly walk	je peux difficilement marcher
i can protect you	je peux te proteger
i can protect you	je peux vous proteger
i can t slow down	je ne peux pas ralentir
i come from japan	je viens du japon
i could intervene	je pouvais intervenir
i could intervene	je pourrais intervenir
i could tutor you	je pourrais vous enseigner
i could tutor you	je pourrais t enseigner
i couldn t get it	je n ai pas capte
i couldn t refuse	je ne pouvais refuser
i deny everything	je nie tout
i deserved better	je meritais mieux
i did it just now	je viens de le faire
i did you a favor	je t ai rendu service
i did you a favor	je vous ai rendu service
i didn t know tom	je ne connaissais pas tom
i do all the work	je fais tout le travail
i do not feel sad	je ne suis pas triste
i don t accept it	je ne l accepte pas
i don t even vote	je ne vote meme pas
i don t have that	je n ai pas ca
i don t know them	je ne les connais pas
i don t like cops	j aime pas les flics
i don t like dogs	j aime pas les chiens
i don t like that	je n aime pas cela
i don t like that	je n aime pas ca
i don t like this	je n aime pas cela
i don t negotiate	je ne negocie pas
i don t work here	je ne travaille pas ici
i drank the water	je bus l eau
i enjoy traveling	j aime voyager
i find that funny	je trouve ca drole
i forgot the book	j oubliai le livre
i found a way out	j ai trouve une issue
i got a flat tire	j ai creve un pneu
i got it for free	je l ai eu gratuitement
i got soaking wet	je me suis trempe
i got soaking wet	je me suis trempee
i guess that s ok	je suppose que ca va
i guess that s ok	je suppose que ca passe
i had a breakdown	j avais une panne
i had fun with it	je m en suis amuse
i hate my brother	je deteste mon frere
i hate my parents	je deteste mes parents
i hate that color	je deteste cette couleur
i hate that movie	je deteste ce film
i hate this music	je deteste cette musique
i hate this place	je deteste cet endroit
i hate this store	je deteste ce magasin
i hate this thing	je deteste cette chose
i have a bad cold	j ai un mauvais rhume
i have a computer	je possede un ordinateur
i have a cut here	j ai une coupure ici
i have a daughter	j ai une fille
i have a passport	j ai un passeport
i have a proposal	j ai une proposition
i have a question	j ai une question
i have a solution	j ai une solution
i have an earache	j ai une otite
i have an old car	j ai une vieille voiture
i have an old car	je possede une vieille voiture
i have bad breath	j ai mauvaise haleine
i have been loved	j ai ete aime
i have been loved	j ai ete aimee
i have everything	j ai tout
i have some gifts	j ai des cadeaux
i have three dogs	j ai trois chiens
i have to go home	je dois rentrer chez moi
i just ignore tom	j ignore simplement tom
i knew who he was	je savais qui il etait
i knew you d come	je savais que tu viendrais
i know a shortcut	je connais un raccourci
i know everything	je sais tout
i know his family	je connais sa famille
i left you a note	je vous laissai une note
i left you a note	je te laissai une note
i like that shirt	j aime cette chemise
i like that skirt	j aime cette jupe
i like these hats	j aime ces chapeaux
i like these hats	ces chapeaux me plaisent
i like this color	j aime cette couleur
i like this model	j aime ce mannequin
i like those odds	j aime ces probabilites
i like to be here	j aime me trouver ici
i like your beard	j aime ta barbe
i like your beard	j aime votre barbe
i like your dress	j aime ta robe
i like your dress	j aime votre robe
i like your house	j aime votre maison
i like your place	j aime ton appartement
i like your place	j aime votre appartement
i like your scarf	j aime ton echarpe
i like your shoes	j aime vos souliers
i like your shoes	j aime tes souliers
i like your shoes	j aime vos chaussures
i like your shoes	j aime tes chaussures
i like your smile	j aime ton sourire
i like your smile	j aime votre sourire
i like your style	j aime ton style
i like your style	j aime votre style
i like your style	j apprecie votre style
i like your style	j apprecie ton style
i live here alone	je vis seul ici
i live here alone	je vis seule ici
i live in a hotel	je vis a l hotel
i locked the door	je verrouillai la porte
i love doing this	j adore faire ca
i love my country	j aime mon pays
i love my new job	j adore mon nouveau boulot
i love my parents	j adore mes parents
i love that chair	j adore cette chaise
i love that dress	j adore cette robe
i love that movie	j adore ce film
i love that place	j adore cet endroit
i love that scarf	j adore cette echarpe
i love that shirt	j adore cette chemise
i love that story	j adore cette histoire
i love this group	j aime ce groupe
i love this photo	j adore cette photo
i love this place	j adore cet endroit
i love this store	j adore ce magasin
i love your dress	j adore votre robe
i love your dress	j adore ta robe
i love your house	j adore votre maison
i love your house	j adore ta maison
i love your place	j adore ton appartement
i love your place	j adore ton appart
i love your place	j adore votre appartement
i made a decision	je pris une decision
i made fun of him	je me moquai de lui
i miss my friends	mes amis me manquent
i miss my friends	mes amies me manquent
i miss my parents	mes parents me manquent
i miss that place	ce lieu me manque
i miss this place	cet endroit me manque
i need to do this	il me faut le faire
i need to go home	je dois aller chez moi
i opened the door	j ouvris la porte
i owe him my life	je lui dois la vie
i owe you a favor	je vous dois une faveur
i owe you a favor	je te dois une faveur
i owe you a lunch	je vous dois un dejeuner
i owe you a lunch	je te dois un dejeuner
i owe you my life	je vous dois la vie
i owe you my life	je te dois la vie
i plan on winning	je prevois de gagner
i play the violin	je joue du violon
i ran into a deer	j ai rencontre un cerf
i ran into a tree	j ai embouti un arbre
i really am sorry	je suis vraiment desole
i really am sorry	je suis vraiment desolee
i really doubt it	j en doute vraiment
i really like him	je l apprecie beaucoup
i really like him	je l apprecie vraiment
i really like you	je t aime vraiment
i really love you	je vous aime vraiment
i really love you	je t aime vraiment
i really miss tom	tom me manque vraiment
i really miss you	vous me manquez vraiment
i really miss you	tu me manques vraiment
i see the problem	je vois le probleme
i should be happy	je devrais etre heureux
i should be happy	je devrais etre content
i should be happy	je devrais etre heureuse
i should be happy	je devrais etre contente
i should be there	je devrais etre la
i should be there	je devrais y etre
i should ve asked	j aurais du demander
i slept very well	je dormis fort bien
i think otherwise	je pense autrement
i truly loved her	je l aimais sincerement
i truly loved her	je l aimais vraiment
i understand this	je comprends ca
i want an apology	je veux des excuses
i want everything	je veux tout
i want my freedom	je veux ma liberte
i want some paper	je veux du papier
i want ten plates	je voudrais dix assiettes
i want them alive	je les veux vivants
i want them alive	je les veux vivantes
i want to be safe	je veux etre en securite
i want to confess	je veux me confesser
i want you to die	je veux que vous mouriez
i want you to die	je veux que tu meures
i wanted the best	je voulais le meilleur
i wanted to fight	je voulais me battre
i wanted to laugh	j ai voulu rire
i was discouraged	on me dissuada
i was discouraged	je fus dissuade
i was embarrassed	j etais embarrasse
i was happy there	j y etais heureux
i was happy there	j y etais heureuse
i was on vacation	j etais en vacances
i was overwhelmed	j etais bouleverse
i was overwhelmed	j etais bouleversee
i was overwhelmed	j etais submerge
i was overwhelmed	j etais submergee
i was unconscious	j etais inconsciente
i was very hungry	j avais tres faim
i was very hungry	j etais fort affame
i was very hungry	j etais fort affamee
i wasn t flirting	je ne draguais pas
i went on reading	je poursuivis ma lecture
i went to the zoo	je suis alle au zoo
i will choose one	j en choisirai un
i will choose one	j en choisirai une
i won t negotiate	je ne negocierai pas
i won t sign this	je ne signerai pas ceci
i worked with tom	je travaillais avec tom
i d like to stand	j aimerais me tenir debout
i d like to stand	j aimerais me porter candidat
i ll be back soon	je serai vite de retour
i ll keep it warm	je le garderai au chaud
i ll let you know	je te le ferai savoir
i ll let you know	je vous le ferai savoir
i ll never change	je ne changerai jamais
i ll never forget	je n oublierai jamais
i ll send flowers	j enverrai des fleurs
i ve been evicted	j ai ete expulse
i ve been tricked	on m a trompe
i ve got bad news	j ai de mauvaises nouvelles
i ve lost my keys	j ai perdu mes cles
is he nice to her	est il sympa avec elle
is he still there	y est il encore
is he still there	y est il toujours
is it complicated	est ce complique
is it that urgent	est ce si urgent
is that a problem	est ce un probleme
is that all clear	tout est il clair
is that all clear	est ce entierement clair
is that mandatory	est ce obligatoire
is that notarized	est ce notarie
is that warranted	est ce garanti
is that your room	est ce ta chambre
is that your wife	est ce ta femme
is that your wife	est ce votre femme
is this all right	est ce en ordre
is this your beer	est ce votre biere
is this your bike	est ce votre velo
is this your bike	est ce votre bicyclette
is this your bike	est ce ton velo
is this your room	est ce ta chambre
is this your room	est ce votre chambre
it belongs to tom	cela appartient a tom
it doesn t matter	ca ne fait rien
it has cooled off	ca s est rafraichi
it is pretty cold	il fait assez froid
it never gets old	ca ne vieillit jamais
it was a bad idea	ce fut une mauvaise idee
it was a bad idea	c etait une mauvaise idee
it was a good day	ce fut une bonne journee
it was a warm day	c etait une chaude journee
it was deliberate	c etait delibere
it was horrendous	ce fut epouvantable
it was impressive	c etait impressionnant
it was our secret	c etait notre secret
it was terrifying	c etait terrifiant
it was very funny	c etait tres amusant
it was very funny	ce fut tres amusant
it was very quick	c etait tres rapide
it was very scary	c etait tres effrayant
it was very windy	c etait tres venteux
it s a bit flimsy	c est un peu leger
it s a bit greasy	c est un peu gras
it s a bit wobbly	c est un peu branlant
it s a cloudy day	c est une journee nuageuse
it s a dictionary	c est un dictionnaire
it s a good start	c est un bon debut
it s a good story	c est une bonne histoire
it s a good thing	c est une bonne chose
it s a lovely day	c est une journee delicieuse
it s a lovely day	c est une delicieuse journee
it s a nice party	c est une chouette fete
it s a no brainer	c est simple comme bonjour
it s a pipe dream	c est un projet chimerique
it s a small town	c est une petite ville
it s a true story	c est une histoire vraie
it s all nonsense	c est completement insense
it s all the rage	c est le dernier cri
it s already done	c est deja fait
it s already late	il est deja tard
it s cold in here	il fait froid la dedans
it s dark in here	il fait noir la dedans
it s embarrassing	c est genant
it s embarrassing	c est embarrassant
it s finally over	c est enfin termine
it s finished now	c est desormais termine
it s getting dark	le ciel s obscurcit
it s getting late	il se fait tard
it s going nicely	ca se passe gentiment
it s hard to tell	c est difficile a dire
it s just a dream	c est seulement un reve
it s not too much	ce n est pas trop
it s now or never	c est maintenant ou jamais
it s on the house	c est pour la maison
it s pretty light	c est assez leger
it s settled then	c est regle alors
it s settled then	c est arrange alors
it s so beautiful	c est tellement beau
it s so beautiful	c est si beau
it s so imprecise	c est tellement imprecis
it s the only way	c est la seule maniere
it s the only way	c est la seule facon
it s to your left	c est a votre gauche
it s too late now	c est trop tard maintenant
it s unbelievable	c est incroyable
it s very onerous	c est tres onereux
just tell them no	dites leur simplement non
just tell them no	dis leur simplement non
knock on the door	frappe a la porte
knock on the door	frappez a la porte
leave immediately	pars immediatement
leave immediately	partez immediatement
leave me in peace	laissez moi en paix
let no one escape	ne laisse personne echapper
let no one escape	ne laissez personne echapper
let us do our job	laissez nous faire notre boulot
let s flip a coin	tirons a pile ou face
let s get a drink	allons nous chercher un verre
let s get serious	un peu de serieux
let s go downtown	rendons nous en ville
let s shake hands	serrons nous la main
light the candles	allume les bougies
light the candles	allumez les bougies
light the candles	allume les cierges
light the candles	allumez les cierges
long time no see	ca fait une paille
long time no see	ca fait un bail
look i know that	ecoute je le sais
love will prevail	l amour prevaudra
love will survive	l amour survivra
make a prediction	fais une prediction
make a prediction	faites une prediction
may god bless you	que dieu te benisse
may god bless you	que dieu vous benisse
may i go with him	je peux aller avec lui
may i put it here	puis je le mettre ici
may i put it here	puis je le mettre la
move away from me	eloignez vous de moi
move away from me	eloigne toi de moi
my bag was stolen	mon sac fut derobe
my brother is out	mon frere est dehors
my eyes are tired	mes yeux sont fatigues
my father is busy	mon pere est occupe
my father is rich	mon pere est riche
my father is tall	mon pere est grand
my glass is dirty	mon verre est sale
my glass is empty	mon verre est vide
my hair is a mess	mes cheveux sont en pagaille
my hair is a mess	mes cheveux sont en desordre
my hair is greasy	mes cheveux sont gras
my hands are cold	mes mains sont froides
my house is small	ma maison est petite
my tailor is rich	mon tailleur est riche
no minors allowed	interdit aux mineurs
no one has failed	personne n a echoue
no one is perfect	nul n est parfait
no one knows that	personne ne le sait
no one knows that	personne ne sait cela
no one lives here	personne ne vit ici
no one looks busy	personne ne semble occupe
no one understood	personne ne comprit
no one was killed	personne ne fut tue
no one s in sight	personne n est en vue
no one s prepared	personne n est prepare
nothing s working	rien ne fonctionne
nothing s working	rien ne marche
ok i ll order it	d accord je le commenderai
ok that s enough	bien en voila assez
please be careful	veuillez etre prudent
please be careful	veuillez etre prudente
please be careful	veuillez etre prudents
please be careful	veuillez etre prudentes
please correct it	veuillez le corriger
please forgive me	veuillez me pardonner
prices are rising	les prix augmentent
put it on my bill	mettez le sur mon compte
put it on my bill	mets le sur mon compte
say it in english	dis le en anglais
she began to sing	elle commenca a chanter
she can handle it	elle sait y faire
she can jump high	elle peut sauter haut
she can t do that	elle n y arrive pas
she cooks for him	elle cuisine pour lui
she did it easily	elle le fit facilement
she did it slowly	elle le fit lentement
she didn t answer	elle ne repondit pas
she drives me mad	elle me rend fou
she gave it to me	elle me l a donne
she gave it to me	elle me l a donnee
she gets up early	elle se leve tot
she has a bicycle	elle a un velo
she has a picture	elle detient une photo
she heard him cry	elle l entendit pleurer
she knew the teen	elle connaissait l adolescente
she knew the teen	elle connaissait l adolescent
she knew the teen	elle connaissait l ado
she knows my wife	elle connait ma femme
she left the room	elle quitta la piece
she loves cooking	elle adore cuisiner
she loves singing	elle adore chanter
she met her uncle	elle rencontra son oncle
she must go there	elle doit y aller
she took her book	elle prit son livre
she wept bitterly	elle pleura amerement
she wept bitterly	elle pleurait amerement
she won t make it	elle n y parviendra pas
she won t make it	elle n y arrivera pas
should i continue	devrais je continuer
should i tell him	devrais je lui dire
show me that list	montrez moi cette liste
show me that list	montre moi cette liste
show me the photo	montre moi la photo
show me your hand	montre moi ta main
show me your hand	montrez moi votre main
so where were you	ou etais tu donc
solve the problem	resous le probleme
somebody s coming	quelqu un vient
someone is coming	quelqu un vient
someone s talking	quelqu un parle
sorry i was busy	desole j etais occupe
stand up straight	tiens toi droit
stand up straight	tenez vous droit
stand up straight	tiens toi droite
stand up straight	tenez vous droite
stand up straight	tenez vous droits
stand up straight	tenez vous droites
stay here with us	reste ici avec nous
stay in the house	reste dans la maison
